workload_id,rho,capacity,quantizer,arrival_scheduling_mode,configured_fine_deltas,positive_fine_deltas,zero_fine_deltas,min_included_delta,max_included_delta,status,exponent,intercept,r_squared
workload_0eb13b122eb555a5c1e7b324,0.5,1,floor,preload_all,6,4,2,0.0001,0.003,two_or_more_missing,0.9527273955455959,0.1842741295052468,0.9892641608171703
workload_0eb13b122eb555a5c1e7b324,0.5,1,nearest,preload_all,6,4,2,0.0001,0.003,two_or_more_missing,0.8628322901354804,-0.690262052103177,0.9972072288631272
workload_0ed2c6e9e08e8d0033bd907d,0.95,8,ceiling,preload_all,6,6,0,1e-05,0.003,complete,1.0001024644204626,0.19805335057114848,0.9644508849528748
workload_0ed2c6e9e08e8d0033bd907d,0.95,8,floor,preload_all,6,6,0,1e-05,0.003,complete,0.8955566257000604,0.11720432204342704,0.995601608965168
workload_0ed2c6e9e08e8d0033bd907d,0.95,8,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.8091374484720484,-0.6355700485042094,0.9863260015071083
workload_0f1583816767ffeac0b6e1cd,0.5,1,ceiling,preload_all,6,5,1,3e-05,0.003,one_missing,0.9247359305993873,-1.046219621413475,0.8665047386513355
workload_0f1583816767ffeac0b6e1cd,0.5,1,floor,preload_all,6,5,1,3e-05,0.003,one_missing,1.1464095425443488,1.364193171952302,0.9969001914274764
workload_0f1583816767ffeac0b6e1cd,0.5,1,nearest,preload_all,6,4,2,0.0001,0.003,two_or_more_missing,0.957370092268811,-0.19758167445247674,0.9818802609313237
workload_0f20fb9fbb0b1cd862f25879,0.5,4,ceiling,preload_all,6,6,0,1e-05,0.003,complete,0.8121903593648531,-1.6720558395791054,0.9861062650563497
workload_0f20fb9fbb0b1cd862f25879,0.5,4,floor,preload_all,6,6,0,1e-05,0.003,complete,0.9166150206195753,-0.04778763829879974,0.9879306662368543
workload_0f20fb9fbb0b1cd862f25879,0.5,4,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.7549934616199387,-1.5215670160713557,0.9808572282475552
workload_0f4bade7be14fa0ca38ceb06,0.5,16,ceiling,preload_all,6,4,2,0.0001,0.003,two_or_more_missing,1.3636960947699124,2.2302034913607156,0.9369194587506846
workload_0f4bade7be14fa0ca38ceb06,0.5,16,floor,preload_all,6,4,2,0.0001,0.003,two_or_more_missing,1.0052881821347295,0.5127249688362737,0.9999165079552897
workload_0f4bade7be14fa0ca38ceb06,0.5,16,nearest,preload_all,6,4,2,0.0001,0.003,two_or_more_missing,1.129654378467153,0.9560023521042591,0.9993149276073057
workload_0fcd8a7452613211b5179376,1.0,8,ceiling,preload_all,6,6,0,1e-05,0.003,complete,0.9219271264277938,-0.2588361870150983,0.9871437843586393
workload_0fcd8a7452613211b5179376,1.0,8,floor,preload_all,6,5,1,3e-05,0.003,one_missing,1.0709331949712877,1.4232083534191378,0.9781495350017619
workload_0fcd8a7452613211b5179376,1.0,8,nearest,preload_all,6,5,1,3e-05,0.003,one_missing,1.1619621789703585,1.7492107196164532,0.9748597012986372
workload_10967e5b4931fca6bc0140cb,0.95,8,ceiling,preload_all,6,5,1,3e-05,0.003,one_missing,0.8362058323044801,-0.7236573251324259,0.9809142899876722
workload_10967e5b4931fca6bc0140cb,0.95,8,floor,preload_all,6,6,0,1e-05,0.003,complete,0.9062347696710793,0.2761554704795583,0.9979715861229242
workload_10967e5b4931fca6bc0140cb,0.95,8,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.8952366961677317,-0.004947916971841709,0.9903671183568419
workload_10bf1c4f06731f4a1e0c7914,0.95,16,ceiling,preload_all,6,5,1,3e-05,0.003,one_missing,1.0376920283108348,0.687052716689732,0.9960285832387625
workload_10bf1c4f06731f4a1e0c7914,0.95,16,floor,preload_all,6,4,2,0.0001,0.003,two_or_more_missing,1.066756015677534,1.3808554440354306,0.9889145433459097
workload_10bf1c4f06731f4a1e0c7914,0.95,16,nearest,preload_all,6,6,0,1e-05,0.003,complete,1.0104421524210039,0.6806381170313471,0.9835772749732533
workload_11486e68575cfde250c3d63b,1.1,16,ceiling,preload_all,6,5,1,3e-05,0.003,one_missing,0.9794573240157863,0.4452638544774516,0.9977494622097371
workload_11486e68575cfde250c3d63b,1.1,16,floor,preload_all,6,6,0,1e-05,0.003,complete,1.0104022722434516,1.1459880941228868,0.9921613663433642
workload_11486e68575cfde250c3d63b,1.1,16,nearest,preload_all,6,5,1,3e-05,0.003,one_missing,1.0281862320850093,1.0241822655678314,0.9661769322209846
workload_11da955f8133b6eda9fbb2da,0.8,8,ceiling,preload_all,6,5,1,3e-05,0.003,one_missing,1.0872707113159832,0.8281480802051048,0.9849446212895481
workload_11da955f8133b6eda9fbb2da,0.8,8,floor,preload_all,6,6,0,1e-05,0.003,complete,0.872312109013498,-0.12109530169337093,0.9947775071021211
workload_11da955f8133b6eda9fbb2da,0.8,8,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.9388983643584086,0.17766715240399997,0.9942239918371674
workload_11dd1b39b7083eabae20c8ee,0.95,16,ceiling,preload_all,6,6,0,1e-05,0.003,complete,0.995251310105312,0.20565220505885262,0.9729748772743884
workload_11dd1b39b7083eabae20c8ee,0.95,16,floor,preload_all,6,5,1,3e-05,0.003,one_missing,0.8547303331974401,-0.0945455904050517,0.9945672410938877
workload_11dd1b39b7083eabae20c8ee,0.95,16,nearest,preload_all,6,5,1,3e-05,0.003,one_missing,0.9176364645889676,0.1634554765363278,0.998912066915761
workload_14af3ee9045ab488554baa47,0.5,4,ceiling,preload_all,6,5,1,1e-05,0.003,one_missing,0.8368585152311853,-1.2711952111827147,0.9810233656087695
workload_14af3ee9045ab488554baa47,0.5,4,floor,preload_all,6,6,0,1e-05,0.003,complete,0.9899179245843235,0.5105138661314529,0.9959352004060742
workload_14af3ee9045ab488554baa47,0.5,4,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.8287799595187091,-0.9058145771222411,0.9815097381198022
