quantizer,rho,capacity,delta,policy,arrival_quantization_error_signed_mean,arrival_quantization_error_absolute_mean,arrival_quantization_error_median,arrival_quantization_error_p05,arrival_quantization_error_p95,arrival_quantization_error_minimum,arrival_quantization_error_maximum,arrival_quantization_error_zero_fraction,arrival_quantization_error_shortened_fraction,arrival_quantization_error_lengthened_fraction,arrival_quantization_error_accumulated_signed_error,service_quantization_error_signed_mean,service_quantization_error_absolute_mean,service_quantization_error_median,service_quantization_error_p05,service_quantization_error_p95,service_quantization_error_minimum,service_quantization_error_maximum,service_quantization_error_zero_fraction,service_quantization_error_shortened_fraction,service_quantization_error_lengthened_fraction,service_quantization_error_accumulated_signed_error
ceiling,0.5,1,0.0003,departure_first,0.0001500781037156424,0.0001500781037156424,0.0001501971681136638,1.5045779725066193e-05,0.00028489059743454464,5.715749769782027e-09,0.00029999503391688146,0.0,0.0,1.0,7.50390518578212,0.00014995615643104788,0.00014995615643104788,0.0001498522167140979,1.4996259610080302e-05,0.0002851017932131249,1.0023973129151543e-08,0.000299990807490134,0.0,0.0,1.0,4.994715868905974
ceiling,0.5,1,0.0003,insertion_order,0.0001500781037156424,0.0001500781037156424,0.0001501971681136638,1.5045779725066193e-05,0.00028489059743454464,5.715749769782027e-09,0.00029999503391688146,0.0,0.0,1.0,7.50390518578212,0.00014995723918925265,0.00014995723918925265,0.0001498548234960068,1.4996991835042206e-05,0.0002851028576706604,1.0023973129151543e-08,0.000299990807490134,0.0,0.0,1.0,4.994396977362787
ceiling,0.5,1,0.001,arrival_first,0.000499910976875611,0.000499910976875611,0.0004996447012369269,5.0145824191834744e-05,0.0009501196869678096,1.9890891659694413e-08,0.0009999820609057982,0.0,0.0,1.0,24.99554884378055,0.000500837389779716,0.000500837389779716,0.0005012321794696919,5.006681366469805e-05,0.0009501760314627785,3.49526060683623e-08,0.0009999761429239629,0.0,0.0,1.0,16.676722888705054
ceiling,0.5,1,0.001,departure_first,0.000499910976875611,0.000499910976875611,0.0004996447012369269,5.0145824191834744e-05,0.0009501196869678096,1.9890891659694413e-08,0.0009999820609057982,0.0,0.0,1.0,24.99554884378055,0.0005008305705407097,0.0005008305705407097,0.0005012261066935411,5.0061217362578986e-05,0.0009501773001016722,3.49526060683623e-08,0.0009999761429239629,0.0,0.0,1.0,16.681889740407204
ceiling,0.5,1,0.001,insertion_order,0.000499910976875611,0.000499910976875611,0.0004996447012369269,5.0145824191834744e-05,0.0009501196869678096,1.9890891659694413e-08,0.0009999820609057982,0.0,0.0,1.0,24.99554884378055,0.000500837389779716,0.000500837389779716,0.0005012321794696919,5.006681366469805e-05,0.0009501760314627785,3.49526060683623e-08,0.0009999761429239629,0.0,0.0,1.0,16.676722888705054
ceiling,0.5,1,0.003,arrival_first,0.0015013983102004531,0.0015013983102004531,0.0015005510319194097,0.00015086407544610364,0.0028509398205460454,4.8822463819912326e-08,0.0029999330239661504,0.0,0.0,1.0,75.06991551002265,0.001502420847661289,0.001502420847661289,0.0015042523850883087,0.00015081916341108982,0.002850624241506893,6.974233843169234e-08,0.0029998963638189196,0.0,0.0,1.0,49.99335501644271
ceiling,0.5,1,0.003,departure_first,0.0015013983102004531,0.0015013983102004531,0.0015005510319194097,0.00015086407544610364,0.0028509398205460454,4.8822463819912326e-08,0.0029999330239661504,0.0,0.0,1.0,75.06991551002265,0.001502408778146637,0.001502408778146637,0.0015042837702022537,0.00015086091982931664,0.0028506048110511534,6.974233843169234e-08,0.0029998963638189196,0.0,0.0,1.0,50.043547513650125
ceiling,0.5,1,0.003,insertion_order,0.0015013983102004531,0.0015013983102004531,0.0015005510319194097,0.00015086407544610364,0.0028509398205460454,4.8822463819912326e-08,0.0029999330239661504,0.0,0.0,1.0,75.06991551002265,0.001502420847661289,0.001502420847661289,0.0015042523850883087,0.00015081916341108982,0.002850624241506893,6.974233843169234e-08,0.0029998963638189196,0.0,0.0,1.0,49.99335501644271
ceiling,0.5,1,0.01,arrival_first,0.005002092976881806,0.005002092976881806,0.004997260541949799,0.0005028784424636494,0.009503340484031165,2.213558521665012e-07,0.009999840219218943,0.0,0.0,1.0,250.1046488440903,0.0050073123731433486,0.0050073123731433486,0.005008121371996765,0.0005058704849166569,0.009503917555097064,3.7251196775093625e-07,0.009999696381389733,0.0,0.0,1.0,166.2219563408813
ceiling,0.5,1,0.01,departure_first,0.005002092976881806,0.005002092976881806,0.004997260541949799,0.0005028784424636494,0.009503340484031165,2.213558521665012e-07,0.009999840219218943,0.0,0.0,1.0,250.1046488440903,0.005007329801475161,0.005007329801475161,0.0050083556105145755,0.0005058135056274459,0.009504067452768399,3.7251196775093625e-07,0.00999970571722681,0.0,0.0,1.0,166.7857360117462
