rho,capacity,quantizer,arrival_scheduling_mode,n_workloads,mean_slope,sd_slope,median_slope,q25_slope,q75_slope,iqr_slope,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_unit,aggregation
0.95,8,floor,preload_all,30,1.002803546851617,0.08970019271873307,1.0008037797562783,0.9277335497726864,1.05484433451012,0.12711078473743354,0.9714865190861726,1.0356022143944559,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.95,8,nearest,preload_all,30,0.9906692553054991,0.10474185214881705,0.9868989950639693,0.9365114766615608,1.0532313485092537,0.11671987184769295,0.9549858000700355,1.0291785383477616,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.95,16,ceiling,preload_all,30,0.9664102588747079,0.10412213760430016,0.9608556309557231,0.8948199082481699,1.0023109627356843,0.10749105448751439,0.9314321619830893,1.0053127259093253,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.95,16,floor,preload_all,30,0.9837391680006603,0.11619370877727063,0.9980622775341192,0.9018280114776909,1.0598900905104556,0.1580620790327647,0.9438898051087337,1.0253666476868175,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.95,16,nearest,preload_all,30,0.9954011103560582,0.12205836795609945,0.9787290000193695,0.9196528745853995,1.085920402095487,0.16626752751008744,0.9525193862068673,1.0386370498216249,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.0,1,ceiling,preload_all,30,0.968097339608501,0.12915524733259384,0.932076288527441,0.8892449288238995,1.0642856310870146,0.17504070226311508,0.9240349780750431,1.0141453232829025,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.0,1,floor,preload_all,30,0.967575493597802,0.11629715587933895,0.9562043424871892,0.9262230198989515,1.0187070137929815,0.09248399389402995,0.9272974769184287,1.0082889182280832,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.0,1,nearest,preload_all,30,0.9718149938611965,0.11242243522960657,0.9630272134578297,0.9146507109041753,1.0355945885049926,0.12094387760081737,0.9315970170012077,1.0124331728843456,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.0,4,ceiling,preload_all,30,0.9465825760448932,0.10031131434698115,0.9250527794025777,0.8939733530211087,0.9952161511473259,0.10124279812621717,0.9122155750591222,0.9832209319696038,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.0,4,floor,preload_all,30,0.9747436902095584,0.09447421775075229,0.9912363154550212,0.9182454633947176,1.022826370089018,0.10458090669430053,0.9415860377775431,1.0087338728249335,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.0,4,nearest,preload_all,30,0.9646874178660294,0.10094582761403224,0.9746448469450874,0.8865194178032596,1.0060667871332705,0.11954736933001087,0.928766288767456,1.0006147479160286,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.0,8,ceiling,preload_all,30,0.9642228881163499,0.10365703161733911,0.9428321550611068,0.9002939622063452,0.9970555986724465,0.09676163646610136,0.9292412278464605,1.0014559671008345,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.0,8,floor,preload_all,30,1.013026183592513,0.09837511159007853,1.0211607717558318,0.9572468499865947,1.0706670169550978,0.1134201669685031,0.977761594673597,1.0466884056149348,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
