analysis_configuration_id,rho,capacity,delta,quantizer,arrival_scheduling_mode,n_workloads,absolute_policy_gap,total_collision_rate,mixed_collision_rate,critical_collision_rate,inverse_capacity,policy_gap_bootstrap_ci95_low,policy_gap_bootstrap_ci95_high,aggregation,bootstrap_unit
analysis_configuration_9ef37d745470d54cec91be38,0.95,4,0.1,floor,schedule_next_after_transition,30,0.004126000000000004,0.20275375732501738,0.09081199999999999,0.015247,0.25,0.003931333333333336,0.004324666666666669,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_9f11b08d84a115535cc3cdb0,1.1,1,1e-05,floor,schedule_next_after_transition,30,4.0000000000003e-06,2.8910304801025378e-05,1.2666666666666667e-05,6.666666666666667e-06,1.0,1.3333333333346669e-06,6.666666666673334e-06,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_9f787383130ecc63b65d0dc3,1.1,16,0.003,ceiling,schedule_next_after_transition,30,0.0002946666666666662,0.004721918156689034,0.0028553333333333334,0.0003193333333333333,0.0625,0.000225333333333332,0.00036800000000000027,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_9fb0c1ac88c05e467d4767cb,1.25,8,0.01,floor,schedule_next_after_transition,30,0.0005113333333333322,0.026306592912236734,0.009873333333333335,0.002253666666666667,0.125,0.0003726666666666665,0.0006593333333333302,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_a009d7c6c3cb544b23dfdb6e,0.8,4,1e-05,nearest,schedule_next_after_transition,30,0.0,1.3483774420114583e-05,8.000000000000001e-06,1.3333333333333334e-06,0.25,0.0,0.0,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_a0e7740ca852cbabdf99e313,0.8,1,3e-05,floor,schedule_next_after_transition,30,9.999999999998898e-06,5.485418726894249e-05,3.066666666666667e-05,1.3333333333333333e-05,1.0,4.666666666667633e-06,1.599999999999565e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_a1180d11e6b015a4d4eb2fee,0.95,1,0.03,nearest,schedule_next_after_transition,30,0.007429999999999997,0.04693550781819862,0.021594666666666665,0.014234333333333333,1.0,0.007225333333333337,0.007644016666666664,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_a1879aaa5c8ff79f870a0acb,1.0,4,0.003,ceiling,schedule_next_after_transition,30,0.00018333333333333534,0.0043834354844822405,0.002421,0.0006093333333333334,0.25,0.0001440000000000006,0.00022401666666667377,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_a18f69f342044091814f7187,1.1,1,0.1,floor,schedule_next_after_transition,30,0.024926666666666663,0.18968859393948465,0.08990033333333333,0.045982666666666665,1.0,0.02466264999999999,0.025220016666666664,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_a1f4545a8c3971bc1cf36e80,1.25,4,0.0001,floor,schedule_next_after_transition,30,1.400000000000475e-05,0.00025060977869753576,9.733333333333335e-05,2.6000000000000002e-05,0.25,8.0000000000006e-06,2.1333333333339867e-05,mean of workload-paired AF/DF estimates,workload replication
