workload_id,rho,capacity,quantizer,arrival_scheduling_mode,n_valid_deltas,scaling_exponent,intercept,aggregation
workload_0b26f746416718fe91940966,0.95,16,nearest,preload_all,6,0.7952873666121653,-0.7772506678064411,AF/DF midpoint before one log-log slope per workload-design
workload_0b5497c3f0d251a10ca52eeb,1.1,4,ceiling,preload_all,5,0.9066059019628352,-0.2350955296275381,AF/DF midpoint before one log-log slope per workload-design
workload_0b5497c3f0d251a10ca52eeb,1.1,4,floor,preload_all,6,0.9677077085731616,0.7661922434074492,AF/DF midpoint before one log-log slope per workload-design
workload_0b5497c3f0d251a10ca52eeb,1.1,4,nearest,preload_all,6,0.7672250285353146,-1.0222521182155733,AF/DF midpoint before one log-log slope per workload-design
workload_0be635806f92e3cc5c802308,1.1,8,ceiling,preload_all,6,1.0330025833852003,0.7851251384745604,AF/DF midpoint before one log-log slope per workload-design
workload_0be635806f92e3cc5c802308,1.1,8,floor,preload_all,6,0.9980923414754234,1.019164605367587,AF/DF midpoint before one log-log slope per workload-design
workload_0be635806f92e3cc5c802308,1.1,8,nearest,preload_all,6,0.9629642257884105,0.5273823906183569,AF/DF midpoint before one log-log slope per workload-design
workload_0c04c6f2b73f85ceb395cfde,0.5,4,ceiling,preload_all,4,1.3610492849545672,2.179917905995434,AF/DF midpoint before one log-log slope per workload-design
workload_0c04c6f2b73f85ceb395cfde,0.5,4,floor,preload_all,5,1.123892064768835,1.2310470278739651,AF/DF midpoint before one log-log slope per workload-design
workload_0c04c6f2b73f85ceb395cfde,0.5,4,nearest,preload_all,4,1.2130426807526875,1.5734316250686728,AF/DF midpoint before one log-log slope per workload-design
workload_0c78cd859aae54dd964d23a2,1.25,4,ceiling,preload_all,5,1.0066057158953463,0.8206768864759366,AF/DF midpoint before one log-log slope per workload-design
workload_0c78cd859aae54dd964d23a2,1.25,4,floor,preload_all,6,1.0103337144354745,1.167571018906579,AF/DF midpoint before one log-log slope per workload-design
workload_0c78cd859aae54dd964d23a2,1.25,4,nearest,preload_all,5,1.056919164729989,1.3099515317390769,AF/DF midpoint before one log-log slope per workload-design
workload_0cc850cb4b86f853ecf41144,0.95,4,ceiling,preload_all,6,0.9031951353264832,-0.3115725249907771,AF/DF midpoint before one log-log slope per workload-design
workload_0cc850cb4b86f853ecf41144,0.95,4,floor,preload_all,6,0.9100886509012605,0.1887379670964877,AF/DF midpoint before one log-log slope per workload-design
workload_0cc850cb4b86f853ecf41144,0.95,4,nearest,preload_all,6,0.994755736519861,0.5712748841636697,AF/DF midpoint before one log-log slope per workload-design
workload_0d99068789c763979c4f909f,1.0,16,ceiling,preload_all,6,0.7413416022099434,-1.4867844970038653,AF/DF midpoint before one log-log slope per workload-design
workload_0d99068789c763979c4f909f,1.0,16,floor,preload_all,6,0.9133840980051808,0.1979718688294923,AF/DF midpoint before one log-log slope per workload-design
workload_0d99068789c763979c4f909f,1.0,16,nearest,preload_all,6,0.7715551288430162,-1.0371522497900665,AF/DF midpoint before one log-log slope per workload-design
