configuration_id,rho,capacity,delta,quantizer,policy,arrival_scheduling_mode,n,mean_packet_loss,sd_packet_loss,mean_throughput,mean_waiting_time,mean_sojourn_time,mean_occupancy,mean_collision_event_fraction,mean_collided_tick_fraction,mean_mixed_collision_rate,mean_critical_acceptance_difference_rate,se_packet_loss,ci95_low_packet_loss,ci95_high_packet_loss
configuration_b1b9fe33f63f1f48e5af7ff3,1.25,16,0.01,ceiling,insertion_order,schedule_next_after_transition,30,0.20810933333333334,0.005099762626885166,0.9901299147907998,11.58900341180368,12.593298426832797,12.468340829797352,0.017968019675235335,0.00903966734114074,0.009918000000000001,0.0020833333333333333,0.0009310850095556024,0.20628440671460435,0.20993425995206233
configuration_b1ba29a692bb2dfdf55ff930,1.0,8,1e-05,floor,arrival_first,preload_all,30,0.11132066666666666,0.002868008961335173,0.8894626959166995,3.5008785817364645,4.500887854087803,4.003170714616276,2.470453348242774e-05,1.235253210077586e-05,8.000000000000001e-06,1.3333333333333334e-06,0.000523624401083412,0.11029436284054318,0.11234697049279015
configuration_b1c62851b471c5706f079914,1.25,16,0.0001,ceiling,arrival_first,schedule_next_after_transition,30,0.2046926666666667,0.0050111282598614085,0.9943989279647746,11.463651183440335,12.463123398952531,12.392755943570108,0.00018198996532595027,9.100434275518453e-05,9.6e-05,1.3333333333333333e-05,0.0009149026621592344,0.20289945744883459,0.2064858758844988
configuration_b1d04426d95471ed0eeec054,0.95,16,0.001,nearest,arrival_first,schedule_next_after_transition,30,0.037496,0.0026139382363491843,0.9139363008582786,6.407357254736035,7.407994937840852,6.770517482946535,0.0018850024365159737,0.0009432255601459828,0.0009553333333333334,4.0666666666666675e-05,0.00047723764532457284,0.036560614215163836,0.03843138578483617
configuration_b1d3dc9c9accf94e1238021c,0.8,1,0.003,nearest,arrival_first,preload_all,30,0.4450206666666666,0.0020575344021648624,0.4439031051706118,0.0,1.0012583388883431,0.4444460282020065,0.004200755645790568,0.002104398377795802,0.0021453333333333333,0.0013193333333333332,0.0003756526683028671,0.444284387436793,0.44575694589654025
configuration_b1dcd35f5b6a7ba067cdd3f4,0.5,8,0.03,ceiling,insertion_order,preload_all,30,0.0020593333333333336,0.000358097784115604,0.4987556236070145,0.9942437289611956,2.0083723807517777,1.0016870237427218,0.022245414074114424,0.011214072494828623,0.014874666666666668,6.2e-05,6.537941138424382e-05,0.0019311896870202157,0.0021874769796464515
configuration_b1e615c6441273b0ba2aabab,1.1,16,0.0001,ceiling,insertion_order,preload_all,30,0.11210933333333334,0.004630765880896825,0.9751139662671372,9.38504099340429,10.38420892409825,10.125572586061326,0.00016878813093696606,8.440202232660616e-05,9.666666666666668e-05,9.333333333333334e-06,0.0008454583104974909,0.11045223504475826,0.11376643162190841
configuration_b1ef2358e60fe41f5b5928bc,0.95,8,0.001,floor,arrival_first,preload_all,30,0.08925133333333334,0.0028110063645621994,0.8646127969266485,3.224768737767218,4.2241357725557656,3.652150398556147,0.00235470697487372,0.0011782295351937132,0.0009886666666666666,9.133333333333334e-05,0.0005132171983871024,0.08824542762449461,0.09025723904217206
configuration_b1efaf19c0c41ff8e5b7db25,1.0,16,0.001,floor,arrival_first,schedule_next_after_transition,30,0.05941333333333333,0.004018764034851524,0.9418811634739467,7.528471428237653,8.528359400577802,8.032126385052175,0.002460399068666266,0.001231037608897133,0.0009846666666666667,5.2e-05,0.000733722571726219,0.057975237092749946,0.06085142957391672
configuration_b1f46f0b2d6e2c76d7b8f973,0.5,8,0.003,ceiling,insertion_order,preload_all,30,0.0019533333333333334,0.00034586556420919835,0.49880883679501586,0.9689363968690914,1.9694685014384574,0.9823879505320624,0.002212847728573311,0.0011073242495952638,0.0014733333333333334,5.333333333333334e-06,6.314612379387646e-05,0.0018295669306973355,0.0020770997359693313
